name,gender,known_for_department,original_name,popularity
Seol In-a,1,Acting,설인아,6.2439
Samantha Brown,1,Acting,Samantha Brown,6.2339
Ushasi Ray,1,Acting,Ushasi Ray,6.2281
Alessandro Genovesi,2,Directing,Alessandro Genovesi,6.2275
Miles Teller,2,Acting,Miles Teller,6.2101
Chris Pratt,2,Acting,Chris Pratt,6.2026
Madelyn Cline,1,Acting,Madelyn Cline,6.1753
Kate Winslet,1,Acting,Kate Winslet,6.1667
Yu Aoi,1,Acting,蒼井優,6.1615
Channing Tatum,2,Acting,Channing Tatum,6.1488
Chen Zheyuan,2,Acting,陈哲远,6.1354
Nina van Pallandt,1,Acting,Nina van Pallandt,6.1347
Harold Perrineau,2,Acting,Harold Perrineau,6.1294
Kim Woo-bin,2,Acting,김우빈,5.5737
Afra Saraçoğlu,1,Acting,Afra Saraçoğlu,6.0202
Jennifer Lawrence,1,Acting,Jennifer Lawrence,6.1177
Kevin Costner,2,Acting,Kevin Costner,6.1139
Pedro Infante,2,Acting,Pedro Infante,6.0898
Suppakarn Jirachotikul,2,Acting,ศุภการ จิรโชติกุล,6.0875
Emma Watson,1,Acting,Emma Watson,6.0833
Jason Momoa,2,Acting,Jason Momoa,5.9264
Erdem Şanlı,2,Acting,Erdem Şanlı,6.4423
Asa Butterfield,2,Acting,Asa Butterfield,6.0372
Chen Zheyuan,2,Acting,陈哲远,6.1354
Bryan Cranston,2,Acting,Bryan Cranston,5.3287
Andy Serkis,2,Acting,Andy Serkis,5.3886
Judi Dench,1,Acting,Judi Dench,5.8947
Kim Ji-ah,1,Acting,김지아,6.0755
Kim Woo-bin,2,Acting,김우빈,5.5737
Tao Tsuchiya,1,Acting,土屋太鳳,5.3374
Afra Saraçoğlu,1,Acting,Afra Saraçoğlu,6.0202
Jeffrey Dean Morgan,2,Acting,Jeffrey Dean Morgan,5.6795
Jaime Pressly,1,Acting,Jaime Pressly,6.7599
Linda Cardellini,1,Acting,Linda Cardellini,5.6237
Angelica Hart,1,Acting,Angelica Hart,5.7887
Emilia Clarke,1,Acting,Emilia Clarke,5.8136
Benjamin Bratt,2,Acting,Benjamin Bratt,5.0516
Lauren Cohan,1,Acting,Lauren Cohan,5.4835
Kevin Costner,2,Acting,Kevin Costner,6.1139
Tinto Brass,2,Directing,Tinto Brass,6.081
Sam Claflin,2,Acting,Sam Claflin,5.9118
Ha Yoon-kyung,1,Acting,하윤경,5.911
Hande Erçel,1,Acting,Hande Erçel,5.9104
Maruthi Dasari,2,Directing,Maruthi Dasari,5.8985
Judi Dench,1,Acting,Judi Dench,5.8947
Josh Brolin,2,Acting,Josh Brolin,5.8772
Ethan Hawke,2,Acting,Ethan Hawke,5.8673
Jamie McGuire,0,Acting,Jamie McGuire,5.8601
Han Seo-ah,1,Acting,Han Seo-ah,5.8501
Tetsuya Takeuchi,2,Visual Effects,竹内哲也,5.8338
Margaret Qualley,1,Acting,Margaret Qualley,5.8334
David Corenswet,2,Acting,David Corenswet,5.8221
Simon Webster,2,Acting,Simon Webster,5.8208
Emilia Clarke,1,Acting,Emilia Clarke,5.8136
Angelica Hart,1,Acting,Angelica Hart,5.7887
Michael B. Jordan,2,Acting,Michael B. Jordan,5.7862
Giancarlo Esposito,2,Acting,Giancarlo Esposito,5.7781
Annabelle Wallis,1,Acting,Annabelle Wallis,5.7768
Brigitte Nielsen,1,Acting,Brigitte Nielsen,5.7753
Shinobu Terajima,1,Acting,寺島しのぶ,5.7708
Zoe Saldaña,1,Acting,Zoe Saldaña,5.6803
Kasumi Arimura,1,Acting,有村架純,5.8768
Karen Fukuhara,1,Acting,Karen Fukuhara,5.8514
Cameron Diaz,1,Acting,Cameron Diaz,5.189
Jack Nicholson,2,Acting,Jack Nicholson,5.6205
Shawn Hatosy,2,Acting,Shawn Hatosy,5.3364
Kate Winslet,1,Acting,Kate Winslet,6.1667
Diana Bracho,1,Acting,Diana Bracho,5.8238
Kristen Stewart,1,Acting,Kristen Stewart,5.1285
Verónica Lozano,1,Acting,Verónica Lozano,5.6002
Sebastian Klussmann,2,Acting,Sebastian Klussmann,4.9294
Annabelle Wallis,1,Acting,Annabelle Wallis,5.7768
Kristy McNichol,1,Acting,Kristy McNichol,4.1177
Robin Tunney,1,Acting,Robin Tunney,5.1655
Mio Imada,1,Acting,今田美桜,5.8019
Joo Ye-bin,1,Acting,Joo Ye-bin,6.0071
Jennifer Lawrence,1,Acting,Jennifer Lawrence,6.1177
William Daniels,2,Acting,William Daniels,4.8165
Ushasi Ray,1,Acting,Ushasi Ray,6.2281
John Cena,2,Acting,John Cena,5.0387
Aaron Taylor-Johnson,2,Acting,Aaron Taylor-Johnson,5.3335
Cate Blanchett,1,Acting,Cate Blanchett,4.8432
Sam Elliott,2,Acting,Sam Elliott,5.0495
Emma Thompson,1,Acting,Emma Thompson,5.5448
Seol In-a,1,Acting,설인아,6.2439
Nathan Fillion,2,Acting,Nathan Fillion,5.2954
Elizabeth Banks,1,Acting,Elizabeth Banks,5.5707
Simon Baker,2,Acting,Simon Baker,4.942
Zhu Zhu,1,Acting,朱珠,5.6521
John Travolta,2,Acting,John Travolta,4.8901
Emma Myers,1,Acting,Emma Myers,5.5003
Will Smith,2,Acting,Will Smith,5.671
Cole Hauser,2,Acting,Cole Hauser,4.9701
Sam Claflin,2,Acting,Sam Claflin,5.9118
Theo James,2,Acting,Theo James,5.5502
Meryl Streep,1,Acting,Meryl Streep,5.6279
Aidan Gillen,2,Acting,Aidan Gillen,5.2978
Elisha Cuthbert,1,Acting,Elisha Cuthbert,5.2011
Jon Bernthal,2,Acting,Jon Bernthal,5.3597
Luz Jiménez,1,Acting,Luz Jiménez,5.1365
Luz Jiménez,1,Acting,Luz Jiménez,5.6253
Baek Se-ri,1,Acting,Baek Se-ri,5.6116
Woo Yeol,2,Acting,우열,5.5974
Hailee Steinfeld,1,Acting,Hailee Steinfeld,5.5971
Coco Legrand,2,Acting,Coco Legrand,5.5919
Paola Nuñez,1,Acting,Paola Nuñez,5.5686
Kate Beckinsale,1,Acting,Kate Beckinsale,5.5626
Jessica Alba,1,Acting,Jessica Alba,5.5488
John Krasinski,2,Acting,John Krasinski,5.5391
Woo Do-hwan,2,Acting,우도환,5.5379
Jennifer Aniston,1,Acting,Jennifer Aniston,5.5336
Jin Joo,1,Acting,진주,5.5237
Arnold Schwarzenegger,2,Acting,Arnold Schwarzenegger,5.5144
Kevin Bacon,2,Acting,Kevin Bacon,5.5049
David Wilcock,2,Acting,David Wilcock,5.4912
Keegan-Michael Key,2,Acting,Keegan-Michael Key,5.4876
Jessie Buckley,1,Acting,Jessie Buckley,5.4817
Sacha Baron Cohen,2,Acting,Sacha Baron Cohen,5.4781
Christopher Nolan,2,Directing,Christopher Nolan,5.4656
Josh Hutcherson,2,Acting,Josh Hutcherson,5.4654
Tom Selleck,2,Acting,Tom Selleck,4.6158
Ahn So-hee,1,Acting,Ahn So-hee,5.4258
Rebecca Ferguson,1,Acting,Rebecca Ferguson,4.9401
Deko Akao,1,Writing,赤尾でこ,4.1207
Natalie Portman,1,Acting,Natalie Portman,4.9316
